alert_id,alert_timestamp,source_system,alert_type,severity,assigned_analyst,asset_id,status,time_to_triage_minutes,false_positive
ALT-102955,2026-04-16 14:02:00,Email Gateway,Spoofed Sender Domain,Medium,Analyst_14,AST-00314,Closed,254.0,False
ALT-103706,2026-04-16 14:17:00,EDR,Ransomware Behavior Pattern,High,Analyst_08,AST-00447,Closed,263.8,False
ALT-105647,2026-04-16 14:26:00,Email Gateway,Malicious Attachment,Medium,Analyst_14,AST-00041,Closed,52.8,False
ALT-102492,2026-04-16 14:36:00,SIEM,Brute Force Attempt,Low,Analyst_02,AST-00467,Closed,409.6,False
ALT-110215,2026-04-16 14:38:00,Cloud Access Security (CASB),Unsanctioned App Access,Critical,Analyst_07,AST-00544,Closed,280.4,False
ALT-111604,2026-04-16 14:45:00,Firewall,Blocked Known-Bad IP,Critical,Analyst_09,AST-00674,Closed,4.3,True
ALT-105953,2026-04-16 14:51:00,SIEM,Anomalous Login Pattern,Critical,Analyst_02,AST-00306,Closed,34.1,False
ALT-109989,2026-04-16 14:52:00,Firewall,Blocked Outbound C2 Traffic,Low,Analyst_07,AST-00206,Closed,1514.7,False
ALT-110033,2026-04-16 15:07:00,Email Gateway,Malicious Attachment,Medium,Analyst_12,AST-00007,Closed,70.1,False
ALT-101433,2026-04-16 15:16:00,Cloud Access Security (CASB),Unsanctioned App Access,Medium,Analyst_03,AST-00731,Closed,543.3,True
ALT-100660,2026-04-16 15:35:00,IDS/IPS,Protocol Anomaly,Low,Analyst_09,AST-00572,Closed,1242.4,False
ALT-100082,2026-04-16 15:37:00,EDR,Unsigned Binary Execution,Low,Analyst_14,AST-00420,Closed,1879.1,True
ALT-104533,2026-04-16 15:40:00,Firewall,Unusual Outbound Data Volume,High,Analyst_10,AST-00108,Closed,93.2,False
ALT-108922,2026-04-16 15:55:00,EDR,Suspicious Process Execution,Low,Analyst_01,AST-00576,Closed,1789.9,True
ALT-105662,2026-04-16 15:56:00,Cloud Access Security (CASB),Unsanctioned App Access,High,Analyst_07,AST-00457,Closed,56.3,False
ALT-106935,2026-04-16 16:01:00,EDR,Credential Dumping Indicator,High,Analyst_13,AST-00100,Closed,128.5,False
ALT-106033,2026-04-16 16:06:00,EDR,Suspicious Process Execution,Medium,Analyst_14,AST-00105,Closed,864.9,False
ALT-111829,2026-04-16 16:15:00,Firewall,Unusual Outbound Data Volume,Medium,Analyst_11,AST-00103,Closed,665.3,False
ALT-107815,2026-04-16 16:19:00,EDR,Ransomware Behavior Pattern,Low,Analyst_07,AST-00563,Closed,807.8,True
ALT-100332,2026-04-16 16:22:00,Email Gateway,Phishing Attempt,Medium,Analyst_08,AST-00534,Closed,585.3,False
ALT-105517,2026-04-16 16:23:00,SIEM,Lateral Movement Indicator,Medium,Analyst_10,AST-00453,Closed,6830.6,False
ALT-110377,2026-04-16 16:30:00,EDR,Suspicious Process Execution,High,Analyst_08,AST-00059,Closed,366.0,False
ALT-100569,2026-04-16 16:36:00,Email Gateway,Business Email Compromise Indicator,Medium,Analyst_01,AST-00013,Closed,400.6,False
ALT-110171,2026-04-16 16:41:00,Firewall,Port Scan Detected,Low,Analyst_05,AST-00308,Closed,295.0,False
ALT-111392,2026-04-16 16:46:00,Email Gateway,Spoofed Sender Domain,Critical,Analyst_11,AST-00103,Closed,67.0,False
ALT-110466,2026-04-16 16:46:00,IDS/IPS,Exploit Attempt Signature Match,Medium,Analyst_13,AST-00598,Closed,124.2,False
ALT-108055,2026-04-16 17:02:00,Cloud Access Security (CASB),Anomalous Data Download Volume,High,Analyst_04,AST-00330,Closed,169.1,False
ALT-104980,2026-04-16 17:08:00,SIEM,Privilege Escalation Attempt,Medium,Analyst_06,AST-00668,Closed,182.9,False
ALT-102126,2026-04-16 17:17:00,Firewall,Port Scan Detected,Medium,Analyst_01,AST-00609,Closed,62.4,False
ALT-104283,2026-04-16 17:23:00,SIEM,Privilege Escalation Attempt,High,Analyst_04,AST-00314,Closed,149.6,False
ALT-110841,2026-04-16 17:23:00,Firewall,Blocked Known-Bad IP,Low,Analyst_13,AST-00162,Closed,764.7,True
ALT-100856,2026-04-16 17:28:00,Firewall,Blocked Outbound C2 Traffic,Medium,Analyst_11,AST-00157,Closed,756.4,True
ALT-109145,2026-04-16 17:33:00,SIEM,Brute Force Attempt,High,Analyst_06,AST-00063,Closed,56.1,True
ALT-104960,2026-04-16 17:38:00,SIEM,Anomalous Login Pattern,Medium,Analyst_11,AST-00784,Closed,204.1,False
ALT-108289,2026-04-16 17:39:00,EDR,Credential Dumping Indicator,High,Analyst_13,AST-00487,Closed,871.6,True
ALT-102877,2026-04-16 17:46:00,SIEM,Lateral Movement Indicator,Medium,Analyst_13,AST-00478,Closed,244.3,False
ALT-103698,2026-04-16 17:46:00,Email Gateway,Business Email Compromise Indicator,Low,Analyst_03,AST-00666,Closed,2574.2,False
ALT-103176,2026-04-16 17:49:00,EDR,Unsigned Binary Execution,Medium,Analyst_08,AST-00399,Closed,659.8,True
ALT-102725,2026-04-16 17:56:00,Firewall,Port Scan Detected,Low,Analyst_07,AST-00697,Closed,858.7,True
ALT-109459,2026-04-16 18:16:00,SIEM,Anomalous Login Pattern,Medium,Analyst_10,AST-00564,Closed,331.6,False
ALT-101815,2026-04-16 18:26:00,SIEM,Lateral Movement Indicator,Medium,Analyst_13,AST-00608,Closed,138.0,True
ALT-100739,2026-04-16 18:36:00,IDS/IPS,Protocol Anomaly,Medium,Analyst_04,AST-00723,Closed,191.2,True
ALT-103183,2026-04-16 18:37:00,Email Gateway,Spoofed Sender Domain,Critical,Analyst_04,AST-00125,Closed,27.3,False
ALT-109980,2026-04-16 18:38:00,SIEM,Brute Force Attempt,Medium,Analyst_08,AST-00103,Closed,646.9,True
ALT-104254,2026-04-16 18:43:00,Email Gateway,Spoofed Sender Domain,Medium,Analyst_11,AST-00328,In Progress,104.5,True
ALT-111121,2026-04-16 18:49:00,EDR,Ransomware Behavior Pattern,Medium,Analyst_10,AST-00456,Closed,736.3,False
ALT-100102,2026-04-16 18:59:00,SIEM,Brute Force Attempt,Low,Analyst_07,AST-00774,Closed,704.5,False
ALT-103940,2026-04-16 19:21:00,SIEM,Lateral Movement Indicator,Medium,Analyst_01,AST-00792,Closed,623.9,False
ALT-108868,2026-04-16 19:36:00,EDR,Ransomware Behavior Pattern,Low,Analyst_11,AST-00367,Closed,982.1,True
ALT-103556,2026-04-16 20:09:00,SIEM,Anomalous Login Pattern,Low,Analyst_06,AST-00519,Closed,1583.2,False
ALT-107159,2026-04-16 20:22:00,SIEM,Lateral Movement Indicator,Low,Analyst_06,AST-00491,Closed,1680.7,False
ALT-101574,2026-04-16 20:47:00,EDR,Suspicious Process Execution,High,Analyst_07,AST-00764,Closed,74.9,False
ALT-110906,2026-04-16 20:54:00,IDS/IPS,Exploit Attempt Signature Match,Medium,Analyst_07,AST-00754,Closed,235.5,False
ALT-108994,2026-04-16 21:09:00,SIEM,Privilege Escalation Attempt,Medium,Analyst_05,AST-00582,Closed,447.1,False
ALT-108602,2026-04-16 21:48:00,Email Gateway,Malicious Attachment,Medium,Analyst_11,AST-00460,Closed,35.6,False
ALT-102562,2026-04-16 21:48:00,Firewall,Blocked Outbound C2 Traffic,Medium,Analyst_01,AST-00195,Closed,575.5,False
ALT-109191,2026-04-16 21:49:00,Email Gateway,Spoofed Sender Domain,Low,Analyst_10,AST-00348,Closed,1954.3,True
ALT-107221,2026-04-16 22:27:00,EDR,Unsigned Binary Execution,High,Analyst_01,AST-00751,Closed,181.5,False
ALT-100759,2026-04-16 23:37:00,EDR,Ransomware Behavior Pattern,Medium,Analyst_01,AST-00309,Closed,339.2,True
ALT-109312,2026-04-16 23:54:00,Email Gateway,Phishing Attempt,Low,Analyst_14,AST-00019,Closed,325.5,False
ALT-102122,2026-04-17 00:39:00,Cloud Access Security (CASB),Anomalous Data Download Volume,Medium,Analyst_13,AST-00113,Closed,2858.6,False
ALT-102718,2026-04-17 02:01:00,Firewall,Port Scan Detected,Low,Analyst_11,AST-00267,Closed,848.7,False
ALT-104581,2026-04-17 02:23:00,SIEM,Anomalous Login Pattern,High,Analyst_10,AST-00512,Closed,156.4,True
ALT-108963,2026-04-17 02:27:00,EDR,Credential Dumping Indicator,Low,Analyst_09,AST-00071,Closed,707.9,True
ALT-106581,2026-04-17 02:28:00,Firewall,Port Scan Detected,Medium,Analyst_01,AST-00666,Closed,1841.2,False
ALT-110095,2026-04-17 02:38:00,SIEM,Brute Force Attempt,Low,Analyst_04,AST-00089,Closed,866.8,False
ALT-101049,2026-04-17 02:46:00,EDR,Suspicious Process Execution,Critical,Analyst_08,AST-00625,Closed,19.3,False
ALT-108117,2026-04-17 03:44:00,SIEM,Lateral Movement Indicator,High,Analyst_12,AST-00146,Closed,22.3,False
ALT-109002,2026-04-17 05:07:00,Cloud Access Security (CASB),Impossible Travel Login,Medium,Analyst_05,AST-00620,Closed,85.3,True
ALT-108946,2026-04-17 05:50:00,SIEM,Anomalous Login Pattern,Medium,Analyst_12,AST-00209,Closed,137.5,True
ALT-109767,2026-04-17 05:54:00,IDS/IPS,Malware Signature Match,Medium,Analyst_14,AST-00238,Closed,841.7,False
ALT-109130,2026-04-17 06:07:00,Firewall,Unusual Outbound Data Volume,Low,Analyst_03,AST-00282,Closed,1036.3,True
ALT-109218,2026-04-17 06:16:00,Firewall,Blocked Outbound C2 Traffic,Medium,Analyst_04,AST-00770,Closed,461.8,False
ALT-110755,2026-04-17 06:42:00,EDR,Unsigned Binary Execution,High,Analyst_13,AST-00690,Closed,52.3,False
ALT-102442,2026-04-17 08:05:00,SIEM,Anomalous Login Pattern,High,Analyst_13,AST-00239,Closed,199.8,False
ALT-107343,2026-04-17 08:06:00,Email Gateway,Business Email Compromise Indicator,Medium,Analyst_08,AST-00479,Closed,241.5,False
ALT-107295,2026-04-17 08:07:00,Cloud Access Security (CASB),Anomalous Data Download Volume,Low,Analyst_04,AST-00350,Closed,77.6,False
ALT-103198,2026-04-17 08:12:00,SIEM,Brute Force Attempt,High,Analyst_12,AST-00593,Closed,409.2,False
ALT-102498,2026-04-17 08:15:00,Email Gateway,Phishing Attempt,Medium,Analyst_12,AST-00695,Closed,4784.3,False
ALT-109625,2026-04-17 08:20:00,Email Gateway,Malicious Attachment,Medium,Analyst_03,AST-00487,Closed,162.8,False
ALT-110110,2026-04-17 08:20:00,EDR,Credential Dumping Indicator,Medium,Analyst_09,AST-00591,Closed,271.3,False
ALT-104807,2026-04-17 08:27:00,Email Gateway,Malicious Attachment,Medium,Analyst_05,AST-00180,Closed,386.8,False
ALT-104243,2026-04-17 08:41:00,Email Gateway,Malicious Attachment,Medium,Analyst_14,AST-00448,Closed,973.3,False
ALT-109473,2026-04-17 08:51:00,Firewall,Blocked Known-Bad IP,Low,Analyst_06,AST-00004,Closed,427.9,False
ALT-111866,2026-04-17 08:54:00,SIEM,Lateral Movement Indicator,High,Analyst_11,AST-00631,Closed,114.8,False
ALT-103692,2026-04-17 09:11:00,Email Gateway,Malicious Attachment,High,Analyst_14,AST-00580,Closed,626.5,False
ALT-103570,2026-04-17 09:13:00,SIEM,Privilege Escalation Attempt,Critical,Analyst_14,AST-00132,Closed,48.5,False
ALT-108793,2026-04-17 09:36:00,Cloud Access Security (CASB),Unsanctioned App Access,Medium,Analyst_13,AST-00519,Closed,985.0,True
ALT-102407,2026-04-17 09:36:00,SIEM,Anomalous Login Pattern,Medium,Analyst_06,AST-00224,Closed,70.0,True
ALT-100364,2026-04-17 09:36:00,SIEM,Lateral Movement Indicator,High,Analyst_10,AST-00031,Closed,129.8,False
ALT-103729,2026-04-17 09:37:00,EDR,Suspicious Process Execution,High,Analyst_06,AST-00772,Closed,87.3,False
ALT-100201,2026-04-17 10:00:00,EDR,Unsigned Binary Execution,Low,Analyst_09,AST-00175,Closed,282.8,False
ALT-106328,2026-04-17 10:08:00,Firewall,Blocked Outbound C2 Traffic,High,Analyst_04,AST-00036,Closed,40.5,False
ALT-101113,2026-04-17 10:08:00,SIEM,Privilege Escalation Attempt,Medium,Analyst_04,AST-00324,Closed,97.4,False
ALT-109414,2026-04-17 10:11:00,SIEM,Privilege Escalation Attempt,Medium,Analyst_04,AST-00364,Closed,4509.6,False
ALT-105603,2026-04-17 10:22:00,EDR,Credential Dumping Indicator,Low,Analyst_09,AST-00149,Closed,656.7,False
ALT-103488,2026-04-17 10:25:00,SIEM,Anomalous Login Pattern,Medium,Analyst_03,AST-00461,Closed,221.9,False
ALT-104480,2026-04-17 10:31:00,SIEM,Lateral Movement Indicator,High,Analyst_03,AST-00691,Closed,317.0,False
ALT-101592,2026-04-17 10:31:00,Email Gateway,Phishing Attempt,Medium,Analyst_13,AST-00346,Closed,285.5,False
ALT-103106,2026-04-17 10:33:00,SIEM,Lateral Movement Indicator,Low,Analyst_05,AST-00796,Closed,1365.7,True
ALT-101851,2026-04-17 10:37:00,Firewall,Blocked Known-Bad IP,High,Analyst_06,AST-00069,Closed,331.0,False
ALT-104415,2026-04-17 10:50:00,Email Gateway,Spoofed Sender Domain,High,Analyst_04,AST-00235,Closed,114.9,False
ALT-104777,2026-04-17 11:01:00,SIEM,Brute Force Attempt,Medium,Analyst_14,AST-00520,Closed,679.4,False
ALT-104962,2026-04-17 11:05:00,EDR,Credential Dumping Indicator,Low,Analyst_01,AST-00323,Closed,511.7,False
ALT-102113,2026-04-17 11:06:00,SIEM,Privilege Escalation Attempt,Critical,Analyst_02,AST-00353,Closed,230.0,False
ALT-103963,2026-04-17 11:07:00,Email Gateway,Spoofed Sender Domain,High,Analyst_10,AST-00069,Closed,56.8,False
ALT-105454,2026-04-17 11:10:00,SIEM,Lateral Movement Indicator,Low,Analyst_07,AST-00320,Closed,893.2,False
ALT-111182,2026-04-17 11:13:00,SIEM,Privilege Escalation Attempt,Medium,Analyst_14,AST-00514,Closed,129.6,False
ALT-110960,2026-04-17 11:24:00,SIEM,Lateral Movement Indicator,Low,Analyst_05,AST-00113,Closed,2011.4,False
ALT-106383,2026-04-17 11:35:00,EDR,Ransomware Behavior Pattern,Medium,Analyst_04,AST-00213,Closed,639.8,False
ALT-101039,2026-04-17 11:36:00,SIEM,Lateral Movement Indicator,High,Analyst_12,AST-00784,Closed,87.6,True
ALT-109264,2026-04-17 11:44:00,IDS/IPS,Protocol Anomaly,Medium,Analyst_12,AST-00519,Closed,144.6,False
ALT-109210,2026-04-17 11:44:00,Cloud Access Security (CASB),Impossible Travel Login,High,Analyst_03,AST-00724,Closed,27.5,True
ALT-107893,2026-04-17 11:48:00,Email Gateway,Spoofed Sender Domain,Critical,Analyst_14,AST-00582,Closed,52.0,False
ALT-111120,2026-04-17 12:00:00,SIEM,Brute Force Attempt,Low,Analyst_07,AST-00248,Open,1876.1,False
ALT-107115,2026-04-17 12:01:00,Email Gateway,Business Email Compromise Indicator,Low,Analyst_09,AST-00027,Closed,1957.4,True
ALT-103552,2026-04-17 12:11:00,EDR,Ransomware Behavior Pattern,Medium,Analyst_12,AST-00302,Closed,282.3,False
ALT-107930,2026-04-17 12:15:00,IDS/IPS,Malware Signature Match,Medium,Analyst_07,AST-00784,Closed,164.3,False
ALT-105555,2026-04-17 12:20:00,EDR,Ransomware Behavior Pattern,High,Analyst_10,AST-00288,Closed,28.3,False
ALT-101409,2026-04-17 12:22:00,SIEM,Brute Force Attempt,Medium,Analyst_13,AST-00470,Closed,146.7,True
ALT-107056,2026-04-17 12:24:00,SIEM,Lateral Movement Indicator,Low,Analyst_08,AST-00246,Closed,985.1,False
ALT-104590,2026-04-17 12:26:00,Cloud Access Security (CASB),Unsanctioned App Access,Low,Analyst_06,AST-00731,Closed,3473.6,True
ALT-104916,2026-04-17 12:40:00,SIEM,Lateral Movement Indicator,Low,Analyst_05,AST-00155,Closed,771.3,True
ALT-110688,2026-04-17 12:42:00,Email Gateway,Malicious Attachment,High,Analyst_09,AST-00440,Closed,154.8,False
ALT-102252,2026-04-17 12:53:00,SIEM,Privilege Escalation Attempt,High,Analyst_03,AST-00528,Closed,206.2,False
ALT-109028,2026-04-17 12:57:00,EDR,Unsigned Binary Execution,Low,Analyst_07,AST-00102,Closed,895.2,False
ALT-111705,2026-04-17 13:05:00,Firewall,Blocked Outbound C2 Traffic,Low,Analyst_11,AST-00605,Closed,1166.2,True
ALT-101887,2026-04-17 13:19:00,Email Gateway,Malicious Attachment,Low,Analyst_14,AST-00391,Closed,841.6,False
ALT-101006,2026-04-17 13:20:00,SIEM,Anomalous Login Pattern,Low,Analyst_03,AST-00374,Closed,2386.5,True
ALT-109173,2026-04-17 13:38:00,Firewall,Port Scan Detected,Medium,Analyst_10,AST-00617,Closed,285.6,False
ALT-104626,2026-04-17 13:39:00,SIEM,Lateral Movement Indicator,Medium,Analyst_12,AST-00454,Closed,1092.3,False
ALT-100075,2026-04-17 13:49:00,Cloud Access Security (CASB),Anomalous Data Download Volume,Medium,Analyst_12,AST-00416,Closed,835.7,True
ALT-106154,2026-04-17 13:55:00,EDR,Unsigned Binary Execution,Medium,Analyst_08,AST-00310,Closed,669.3,False
ALT-105904,2026-04-17 14:08:00,EDR,Unsigned Binary Execution,Medium,Analyst_03,AST-00088,Closed,746.0,False
ALT-103035,2026-04-17 14:09:00,SIEM,Lateral Movement Indicator,Medium,Analyst_04,AST-00669,In Progress,4229.8,False
ALT-105652,2026-04-17 14:23:00,Firewall,Unusual Outbound Data Volume,Medium,Analyst_13,AST-00765,Closed,433.0,True
ALT-105170,2026-04-17 14:30:00,SIEM,Anomalous Login Pattern,Medium,Analyst_04,AST-00524,Closed,411.9,False
ALT-110664,2026-04-17 14:39:00,SIEM,Anomalous Login Pattern,Medium,Analyst_04,AST-00484,Closed,4574.2,False
ALT-109445,2026-04-17 14:52:00,IDS/IPS,Exploit Attempt Signature Match,Medium,Analyst_02,AST-00775,Closed,181.1,True
ALT-103573,2026-04-17 14:58:00,Cloud Access Security (CASB),Unsanctioned App Access,Low,Analyst_13,AST-00289,Closed,2576.9,False
ALT-105518,2026-04-17 14:59:00,SIEM,Brute Force Attempt,Medium,Analyst_08,AST-00705,Closed,220.2,True
ALT-100476,2026-04-17 15:04:00,EDR,Suspicious Process Execution,Low,Analyst_02,AST-00713,Closed,839.9,False
ALT-111129,2026-04-17 15:09:00,Email Gateway,Phishing Attempt,Low,Analyst_14,AST-00538,Closed,323.1,True
ALT-110300,2026-04-17 15:13:00,Email Gateway,Business Email Compromise Indicator,Medium,Analyst_03,AST-00101,Closed,456.3,False
ALT-105256,2026-04-17 15:24:00,Firewall,Unusual Outbound Data Volume,Medium,Analyst_09,AST-00568,Closed,1279.8,False
ALT-108862,2026-04-17 15:38:00,Email Gateway,Spoofed Sender Domain,Low,Analyst_13,AST-00082,Closed,510.7,False
ALT-104654,2026-04-17 15:38:00,SIEM,Lateral Movement Indicator,Low,Analyst_06,AST-00792,Closed,1322.8,False
ALT-111788,2026-04-17 15:39:00,Cloud Access Security (CASB),Unsanctioned App Access,Low,Analyst_13,AST-00603,Closed,755.7,False
ALT-104645,2026-04-17 15:40:00,SIEM,Brute Force Attempt,Low,Analyst_02,AST-00357,In Progress,1281.5,False
ALT-110783,2026-04-17 15:44:00,SIEM,Privilege Escalation Attempt,Medium,Analyst_07,AST-00583,Closed,624.2,False
ALT-109844,2026-04-17 15:44:00,SIEM,Lateral Movement Indicator,Low,Analyst_05,AST-00437,Open,132.1,True
