alert_date,source_system,alert_count
2026-05-04,Email Gateway,34
2026-05-04,Firewall,15
2026-05-04,IDS/IPS,6
2026-05-04,SIEM,48
2026-05-05,Cloud Access Security (CASB),7
2026-05-05,EDR,33
2026-05-05,Email Gateway,22
2026-05-05,Firewall,15
2026-05-05,IDS/IPS,9
2026-05-05,SIEM,39
2026-05-06,Cloud Access Security (CASB),10
2026-05-06,EDR,20
2026-05-06,Email Gateway,24
2026-05-06,Firewall,19
2026-05-06,IDS/IPS,2
2026-05-06,SIEM,41
2026-05-07,Cloud Access Security (CASB),12
2026-05-07,EDR,19
2026-05-07,Email Gateway,31
2026-05-07,Firewall,17
2026-05-07,IDS/IPS,6
2026-05-07,SIEM,42
2026-05-08,Cloud Access Security (CASB),8
2026-05-08,EDR,32
2026-05-08,Email Gateway,29
2026-05-08,Firewall,136
2026-05-08,IDS/IPS,6
2026-05-08,SIEM,50
2026-05-09,Cloud Access Security (CASB),7
2026-05-09,EDR,36
2026-05-09,Email Gateway,25
2026-05-09,Firewall,23
2026-05-09,IDS/IPS,14
2026-05-09,SIEM,39
2026-05-10,Cloud Access Security (CASB),12
2026-05-10,EDR,33
2026-05-10,Email Gateway,23
2026-05-10,Firewall,20
2026-05-10,IDS/IPS,16
2026-05-10,SIEM,48
2026-05-11,Cloud Access Security (CASB),9
2026-05-11,EDR,34
2026-05-11,Email Gateway,18
2026-05-11,Firewall,19
2026-05-11,IDS/IPS,11
2026-05-11,SIEM,49
2026-05-12,Cloud Access Security (CASB),18
2026-05-12,EDR,22
2026-05-12,Email Gateway,33
2026-05-12,Firewall,21
2026-05-12,IDS/IPS,11
2026-05-12,SIEM,45
2026-05-13,Cloud Access Security (CASB),7
2026-05-13,EDR,24
2026-05-13,Email Gateway,21
2026-05-13,Firewall,18
2026-05-13,IDS/IPS,10
2026-05-13,SIEM,42
2026-05-14,Cloud Access Security (CASB),11
2026-05-14,EDR,39
2026-05-14,Email Gateway,17
2026-05-14,Firewall,19
2026-05-14,IDS/IPS,10
2026-05-14,SIEM,43
2026-05-15,Cloud Access Security (CASB),14
2026-05-15,EDR,23
2026-05-15,Email Gateway,37
2026-05-15,Firewall,24
2026-05-15,IDS/IPS,6
2026-05-15,SIEM,41
2026-05-16,Cloud Access Security (CASB),14
2026-05-16,EDR,27
2026-05-16,Email Gateway,32
2026-05-16,Firewall,32
2026-05-16,IDS/IPS,5
2026-05-16,SIEM,41
2026-05-17,Cloud Access Security (CASB),19
2026-05-17,EDR,31
2026-05-17,Email Gateway,27
2026-05-17,Firewall,19
2026-05-17,IDS/IPS,10
2026-05-17,SIEM,40
2026-05-18,Cloud Access Security (CASB),11
2026-05-18,EDR,29
2026-05-18,Email Gateway,22
2026-05-18,Firewall,12
2026-05-18,IDS/IPS,5
2026-05-18,SIEM,41
2026-05-19,Cloud Access Security (CASB),6
2026-05-19,EDR,33
2026-05-19,Email Gateway,19
2026-05-19,Firewall,30
2026-05-19,IDS/IPS,3
2026-05-19,SIEM,39
2026-05-20,Cloud Access Security (CASB),7
2026-05-20,EDR,24
2026-05-20,Email Gateway,23
2026-05-20,Firewall,19
2026-05-20,IDS/IPS,12
2026-05-20,SIEM,39
2026-05-21,Cloud Access Security (CASB),9
2026-05-21,EDR,27
2026-05-21,Email Gateway,27
2026-05-21,Firewall,13
2026-05-21,IDS/IPS,13
2026-05-21,SIEM,49
2026-05-22,Cloud Access Security (CASB),9
2026-05-22,EDR,20
2026-05-22,Email Gateway,18
2026-05-22,Firewall,16
2026-05-22,IDS/IPS,6
2026-05-22,SIEM,41
2026-05-23,Cloud Access Security (CASB),13
2026-05-23,EDR,29
2026-05-23,Email Gateway,24
2026-05-23,Firewall,13
2026-05-23,IDS/IPS,5
2026-05-23,SIEM,55
2026-05-24,Cloud Access Security (CASB),14
2026-05-24,EDR,35
2026-05-24,Email Gateway,28
2026-05-24,Firewall,22
2026-05-24,IDS/IPS,9
2026-05-24,SIEM,34
2026-05-25,Cloud Access Security (CASB),18
2026-05-25,EDR,27
2026-05-25,Email Gateway,25
2026-05-25,Firewall,24
2026-05-25,IDS/IPS,7
2026-05-25,SIEM,44
2026-05-26,Cloud Access Security (CASB),9
2026-05-26,EDR,40
2026-05-26,Email Gateway,24
2026-05-26,Firewall,20
2026-05-26,IDS/IPS,5
2026-05-26,SIEM,50
2026-05-27,Cloud Access Security (CASB),8
2026-05-27,EDR,27
2026-05-27,Email Gateway,21
2026-05-27,Firewall,18
2026-05-27,IDS/IPS,7
2026-05-27,SIEM,43
2026-05-28,Cloud Access Security (CASB),13
2026-05-28,EDR,32
2026-05-28,Email Gateway,31
2026-05-28,Firewall,20
2026-05-28,IDS/IPS,10
2026-05-28,SIEM,42
2026-05-29,Cloud Access Security (CASB),12
2026-05-29,EDR,26
2026-05-29,Email Gateway,18
2026-05-29,Firewall,13
2026-05-29,IDS/IPS,4
2026-05-29,SIEM,34
2026-05-30,Cloud Access Security (CASB),11
2026-05-30,EDR,20
2026-05-30,Email Gateway,30
2026-05-30,Firewall,14
2026-05-30,IDS/IPS,7
2026-05-30,SIEM,40
2026-05-31,Cloud Access Security (CASB),12
2026-05-31,EDR,31
2026-05-31,Email Gateway,28
2026-05-31,Firewall,17
2026-05-31,IDS/IPS,15
2026-05-31,SIEM,51
2026-06-01,Cloud Access Security (CASB),10
2026-06-01,EDR,37
2026-06-01,Email Gateway,25
2026-06-01,Firewall,21
2026-06-01,IDS/IPS,9
2026-06-01,SIEM,41
2026-06-02,Cloud Access Security (CASB),10
2026-06-02,EDR,36
2026-06-02,Email Gateway,25
2026-06-02,Firewall,23
2026-06-02,IDS/IPS,7
2026-06-02,SIEM,47
2026-06-03,Cloud Access Security (CASB),6
2026-06-03,EDR,21
2026-06-03,Email Gateway,27
2026-06-03,Firewall,24
2026-06-03,IDS/IPS,10
2026-06-03,SIEM,47
2026-06-04,Cloud Access Security (CASB),8
2026-06-04,EDR,32
2026-06-04,Email Gateway,25
2026-06-04,Firewall,23
2026-06-04,IDS/IPS,11
2026-06-04,SIEM,36
2026-06-05,Cloud Access Security (CASB),7
2026-06-05,EDR,38
2026-06-05,Email Gateway,23
2026-06-05,Firewall,16
2026-06-05,IDS/IPS,8
2026-06-05,SIEM,37
2026-06-06,Cloud Access Security (CASB),8
2026-06-06,EDR,28
2026-06-06,Email Gateway,26
2026-06-06,Firewall,16
2026-06-06,IDS/IPS,6
2026-06-06,SIEM,53
2026-06-07,Cloud Access Security (CASB),13
2026-06-07,EDR,25
2026-06-07,Email Gateway,22
2026-06-07,Firewall,17
2026-06-07,IDS/IPS,6
2026-06-07,SIEM,46
2026-06-08,Cloud Access Security (CASB),10
2026-06-08,EDR,30
2026-06-08,Email Gateway,27
2026-06-08,Firewall,14
2026-06-08,IDS/IPS,7
2026-06-08,SIEM,52
2026-06-09,Cloud Access Security (CASB),12
2026-06-09,EDR,28
2026-06-09,Email Gateway,27
2026-06-09,Firewall,13
2026-06-09,IDS/IPS,9
2026-06-09,SIEM,42
2026-06-10,Cloud Access Security (CASB),6
2026-06-10,EDR,37
2026-06-10,Email Gateway,26
2026-06-10,Firewall,146
2026-06-10,IDS/IPS,9
2026-06-10,SIEM,51
2026-06-11,Cloud Access Security (CASB),6
2026-06-11,EDR,40
2026-06-11,Email Gateway,17
2026-06-11,Firewall,11
2026-06-11,IDS/IPS,7
2026-06-11,SIEM,41
2026-06-12,Cloud Access Security (CASB),4
2026-06-12,EDR,32
2026-06-12,Email Gateway,18
2026-06-12,Firewall,20
2026-06-12,IDS/IPS,5
2026-06-12,SIEM,42
2026-06-13,Cloud Access Security (CASB),16
2026-06-13,EDR,25
2026-06-13,Email Gateway,17
2026-06-13,Firewall,23
2026-06-13,IDS/IPS,3
2026-06-13,SIEM,55
2026-06-14,Cloud Access Security (CASB),13
2026-06-14,EDR,31
2026-06-14,Email Gateway,30
2026-06-14,Firewall,15
2026-06-14,IDS/IPS,13
2026-06-14,SIEM,45
2026-06-15,Cloud Access Security (CASB),9
2026-06-15,EDR,18
2026-06-15,Email Gateway,14
2026-06-15,Firewall,18
2026-06-15,IDS/IPS,12
2026-06-15,SIEM,46
2026-06-16,Cloud Access Security (CASB),9
2026-06-16,EDR,36
2026-06-16,Email Gateway,24
2026-06-16,Firewall,19
2026-06-16,IDS/IPS,10
2026-06-16,SIEM,38
2026-06-17,Cloud Access Security (CASB),7
2026-06-17,EDR,37
2026-06-17,Email Gateway,20
2026-06-17,Firewall,19
2026-06-17,IDS/IPS,6
2026-06-17,SIEM,49
2026-06-18,Cloud Access Security (CASB),12
2026-06-18,EDR,30
2026-06-18,Email Gateway,30
2026-06-18,Firewall,16
2026-06-18,IDS/IPS,5
2026-06-18,SIEM,37
2026-06-19,Cloud Access Security (CASB),8
2026-06-19,EDR,26
2026-06-19,Email Gateway,25
2026-06-19,Firewall,19
2026-06-19,IDS/IPS,13
2026-06-19,SIEM,44
2026-06-20,Cloud Access Security (CASB),10
2026-06-20,EDR,34
2026-06-20,Email Gateway,35
2026-06-20,Firewall,13
2026-06-20,IDS/IPS,5
2026-06-20,SIEM,37
2026-06-21,Cloud Access Security (CASB),7
2026-06-21,EDR,36
2026-06-21,Email Gateway,25
2026-06-21,Firewall,17
2026-06-21,IDS/IPS,7
2026-06-21,SIEM,36
2026-06-22,Cloud Access Security (CASB),12
2026-06-22,EDR,21
2026-06-22,Email Gateway,37
2026-06-22,Firewall,19
2026-06-22,IDS/IPS,9
2026-06-22,SIEM,43
2026-06-23,Cloud Access Security (CASB),11
2026-06-23,EDR,38
2026-06-23,Email Gateway,23
2026-06-23,Firewall,15
2026-06-23,IDS/IPS,7
2026-06-23,SIEM,53
2026-06-24,Cloud Access Security (CASB),10
2026-06-24,EDR,32
2026-06-24,Email Gateway,16
2026-06-24,Firewall,10
2026-06-24,IDS/IPS,13
2026-06-24,SIEM,43
2026-06-25,Cloud Access Security (CASB),7
2026-06-25,EDR,39
2026-06-25,Email Gateway,15
2026-06-25,Firewall,15
2026-06-25,IDS/IPS,7
2026-06-25,SIEM,41
2026-06-26,Cloud Access Security (CASB),11
2026-06-26,EDR,33
2026-06-26,Email Gateway,23
2026-06-26,Firewall,20
2026-06-26,IDS/IPS,10
2026-06-26,SIEM,37
2026-06-27,Cloud Access Security (CASB),10
2026-06-27,EDR,24
2026-06-27,Email Gateway,18
2026-06-27,Firewall,16
2026-06-27,IDS/IPS,8
2026-06-27,SIEM,43
2026-06-28,Cloud Access Security (CASB),14
2026-06-28,EDR,26
2026-06-28,Email Gateway,27
2026-06-28,Firewall,15
2026-06-28,IDS/IPS,11
2026-06-28,SIEM,49
2026-06-29,Cloud Access Security (CASB),17
2026-06-29,EDR,22
2026-06-29,Email Gateway,18
2026-06-29,Firewall,15
2026-06-29,IDS/IPS,4
2026-06-29,SIEM,34
2026-06-30,Cloud Access Security (CASB),12
2026-06-30,EDR,31
2026-06-30,Email Gateway,16
2026-06-30,Firewall,24
2026-06-30,IDS/IPS,9
2026-06-30,SIEM,47
2026-07-01,Cloud Access Security (CASB),10
2026-07-01,EDR,30
2026-07-01,Email Gateway,34
2026-07-01,Firewall,17
2026-07-01,IDS/IPS,6
2026-07-01,SIEM,40
2026-07-02,Cloud Access Security (CASB),12
2026-07-02,EDR,24
2026-07-02,Email Gateway,19
2026-07-02,Firewall,17
2026-07-02,IDS/IPS,4
2026-07-02,SIEM,41
2026-07-03,Cloud Access Security (CASB),9
2026-07-03,EDR,25
2026-07-03,Email Gateway,27
2026-07-03,Firewall,20
2026-07-03,IDS/IPS,4
2026-07-03,SIEM,44
2026-07-04,Cloud Access Security (CASB),9
2026-07-04,EDR,35
2026-07-04,Email Gateway,37
2026-07-04,Firewall,18
2026-07-04,IDS/IPS,12
2026-07-04,SIEM,46
2026-07-05,Cloud Access Security (CASB),10
2026-07-05,EDR,19
2026-07-05,Email Gateway,28
2026-07-05,Firewall,12
2026-07-05,IDS/IPS,5
2026-07-05,SIEM,35
2026-07-06,Cloud Access Security (CASB),8
2026-07-06,EDR,27
2026-07-06,Email Gateway,24
2026-07-06,Firewall,20
2026-07-06,IDS/IPS,7
2026-07-06,SIEM,38
2026-07-07,Cloud Access Security (CASB),12
2026-07-07,EDR,17
2026-07-07,Email Gateway,31
2026-07-07,Firewall,20
2026-07-07,IDS/IPS,6
2026-07-07,SIEM,51
2026-07-08,Cloud Access Security (CASB),14
2026-07-08,EDR,23
2026-07-08,Email Gateway,23
2026-07-08,Firewall,20
2026-07-08,IDS/IPS,10
2026-07-08,SIEM,46
2026-07-09,Cloud Access Security (CASB),10
2026-07-09,EDR,22
2026-07-09,Email Gateway,18
2026-07-09,Firewall,16
2026-07-09,IDS/IPS,8
2026-07-09,SIEM,44
2026-07-10,Cloud Access Security (CASB),14
2026-07-10,EDR,30
2026-07-10,Email Gateway,19
2026-07-10,Firewall,16
2026-07-10,IDS/IPS,6
2026-07-10,SIEM,31
2026-07-11,Cloud Access Security (CASB),5
2026-07-11,EDR,24
2026-07-11,Email Gateway,30
2026-07-11,Firewall,14
2026-07-11,IDS/IPS,10
2026-07-11,SIEM,30
2026-07-12,Cloud Access Security (CASB),14
2026-07-12,EDR,34
2026-07-12,Email Gateway,22
2026-07-12,Firewall,18
2026-07-12,IDS/IPS,8
2026-07-12,SIEM,33
2026-07-13,Cloud Access Security (CASB),16
2026-07-13,EDR,24
2026-07-13,Email Gateway,24
2026-07-13,Firewall,18
2026-07-13,IDS/IPS,7
2026-07-13,SIEM,39
2026-07-14,Cloud Access Security (CASB),14
2026-07-14,EDR,42
2026-07-14,Email Gateway,24
2026-07-14,Firewall,14
2026-07-14,IDS/IPS,13
2026-07-14,SIEM,47
