assigned_analyst,asset_id,alert_id,alert_timestamp,source_system,alert_type,severity,status,time_to_triage_minutes,false_positive,asset_criticality,business_unit,region,analyst_shift,alert_date,alert_hour,is_business_hours,sla_target_minutes,sla_breached_calc
Analyst_03,AST-00489,ALT-108940,2026-04-16 09:20:00,Cloud Access Security (CASB),Impossible Travel Login,Low,Closed,888.7,False,Tier 3 - Standard,Technology,NA,Night,2026-04-16,9,True,1440,False
Analyst_12,AST-00124,ALT-102329,2026-04-16 09:25:00,Firewall,Port Scan Detected,Low,Closed,1008.7,False,Tier 3 - Standard,Technology,EMEA,Night,2026-04-16,9,True,1440,False
Analyst_05,AST-00487,ALT-111503,2026-04-16 09:33:00,SIEM,Privilege Escalation Attempt,Low,Closed,362.5,False,Tier 3 - Standard,Fund Services,APAC,Day,2026-04-16,9,True,1440,False
Analyst_11,AST-00637,ALT-106427,2026-04-16 09:36:00,SIEM,Anomalous Login Pattern,Low,Closed,842.5,True,Tier 3 - Standard,Retail Banking,NA,Day,2026-04-16,9,True,1440,False
Analyst_03,AST-00145,ALT-108777,2026-04-16 09:43:00,Email Gateway,Spoofed Sender Domain,Medium,Closed,260.5,True,Tier 3 - Standard,Global Markets,EMEA,Night,2026-04-16,9,True,480,False
Analyst_12,AST-00484,ALT-102028,2026-04-16 09:52:00,EDR,Suspicious Process Execution,High,Closed,307.6,False,Tier 3 - Standard,Fund Services,EMEA,Night,2026-04-16,9,True,120,True
Analyst_01,AST-00338,ALT-102200,2026-04-16 10:05:00,SIEM,Privilege Escalation Attempt,Critical,Closed,52.8,False,Tier 2 - High,Fund Services,NA,Evening,2026-04-16,10,True,30,True
Analyst_05,AST-00453,ALT-101268,2026-04-16 10:05:00,Email Gateway,Phishing Attempt,Medium,Closed,240.8,False,Tier 3 - Standard,Fund Services,APAC,Day,2026-04-16,10,True,480,False
Analyst_06,AST-00440,ALT-105521,2026-04-16 10:09:00,Firewall,Blocked Outbound C2 Traffic,Medium,Closed,199.2,False,Tier 2 - High,Technology,NA,Night,2026-04-16,10,True,480,False
Analyst_11,AST-00543,ALT-102849,2026-04-16 10:14:00,Firewall,Blocked Known-Bad IP,Medium,Closed,660.1,False,Tier 2 - High,Retail Banking,NA,Day,2026-04-16,10,True,480,True
Analyst_01,AST-00006,ALT-108186,2026-04-16 10:55:00,Firewall,Blocked Outbound C2 Traffic,Low,Closed,494.0,True,Tier 3 - Standard,Technology,NA,Evening,2026-04-16,10,True,1440,False
Analyst_13,AST-00622,ALT-111468,2026-04-16 11:00:00,Email Gateway,Phishing Attempt,Low,Closed,1050.0,False,Tier 2 - High,Global Markets,NA,Evening,2026-04-16,11,True,1440,False
Analyst_11,AST-00500,ALT-103960,2026-04-16 11:04:00,Cloud Access Security (CASB),Impossible Travel Login,Low,Open,649.5,True,Tier 2 - High,Corporate Functions,APAC,Day,2026-04-16,11,True,1440,False
Analyst_12,AST-00566,ALT-109949,2026-04-16 11:11:00,Email Gateway,Spoofed Sender Domain,Medium,Closed,313.9,False,Tier 2 - High,Asset Servicing,EMEA,Night,2026-04-16,11,True,480,False
Analyst_08,AST-00355,ALT-107122,2026-04-16 11:26:00,SIEM,Brute Force Attempt,Medium,Closed,123.3,False,Tier 2 - High,Retail Banking,EMEA,Evening,2026-04-16,11,True,480,False
Analyst_14,AST-00196,ALT-105096,2026-04-16 11:27:00,SIEM,Anomalous Login Pattern,High,Closed,49.4,False,Tier 3 - Standard,Technology,EMEA,Night,2026-04-16,11,True,120,False
Analyst_09,AST-00226,ALT-108227,2026-04-16 11:42:00,SIEM,Lateral Movement Indicator,High,Closed,66.0,True,Tier 2 - High,Retail Banking,APAC,Day,2026-04-16,11,True,120,False
Analyst_01,AST-00215,ALT-100026,2026-04-16 11:45:00,EDR,Ransomware Behavior Pattern,Medium,Closed,191.3,False,Tier 3 - Standard,Fund Services,EMEA,Evening,2026-04-16,11,True,480,False
Analyst_10,AST-00235,ALT-102897,2026-04-16 11:50:00,IDS/IPS,Protocol Anomaly,Medium,Closed,1860.8,True,Tier 3 - Standard,Technology,EMEA,Evening,2026-04-16,11,True,480,True
Analyst_05,AST-00232,ALT-101690,2026-04-16 11:51:00,EDR,Suspicious Process Execution,High,Closed,73.7,False,Tier 3 - Standard,Fund Services,EMEA,Day,2026-04-16,11,True,120,False
Analyst_06,AST-00305,ALT-109997,2026-04-16 11:52:00,SIEM,Anomalous Login Pattern,Low,Closed,1554.8,False,Tier 2 - High,Technology,NA,Night,2026-04-16,11,True,1440,True
Analyst_09,AST-00734,ALT-106327,2026-04-16 11:57:00,EDR,Suspicious Process Execution,Medium,Closed,484.3,False,Tier 3 - Standard,Fund Services,APAC,Day,2026-04-16,11,True,480,True
Analyst_11,AST-00761,ALT-105352,2026-04-16 11:59:00,SIEM,Lateral Movement Indicator,Medium,Closed,393.4,True,Tier 1 - Critical,Technology,NA,Day,2026-04-16,11,True,480,False
Analyst_04,AST-00072,ALT-111243,2026-04-16 12:04:00,EDR,Credential Dumping Indicator,Medium,Closed,699.4,False,Tier 1 - Critical,Technology,APAC,Evening,2026-04-16,12,True,480,True
Analyst_10,AST-00247,ALT-111446,2026-04-16 12:07:00,Firewall,Unusual Outbound Data Volume,Medium,Closed,282.6,False,Tier 2 - High,Global Markets,EMEA,Evening,2026-04-16,12,True,480,False
Analyst_14,AST-00481,ALT-102047,2026-04-16 12:07:00,Email Gateway,Business Email Compromise Indicator,Medium,Closed,354.6,True,Tier 3 - Standard,Asset Servicing,EMEA,Night,2026-04-16,12,True,480,False
Analyst_02,AST-00632,ALT-110323,2026-04-16 12:22:00,EDR,Ransomware Behavior Pattern,High,Closed,41.5,False,Tier 3 - Standard,Technology,EMEA,Day,2026-04-16,12,True,120,False
Analyst_03,AST-00050,ALT-107464,2026-04-16 12:23:00,Firewall,Port Scan Detected,Critical,Closed,102.6,False,Tier 3 - Standard,Global Markets,APAC,Night,2026-04-16,12,True,30,True
Analyst_11,AST-00175,ALT-108294,2026-04-16 12:29:00,SIEM,Lateral Movement Indicator,Medium,Closed,2171.4,True,Tier 3 - Standard,Global Markets,APAC,Day,2026-04-16,12,True,480,True
Analyst_13,AST-00523,ALT-106283,2026-04-16 12:33:00,SIEM,Lateral Movement Indicator,Medium,Open,791.6,False,Tier 3 - Standard,Asset Servicing,APAC,Evening,2026-04-16,12,True,480,True
Analyst_09,AST-00470,ALT-111464,2026-04-16 12:36:00,Firewall,Unusual Outbound Data Volume,High,Closed,49.1,False,Tier 2 - High,Technology,NA,Day,2026-04-16,12,True,120,False
Analyst_12,AST-00234,ALT-106873,2026-04-16 12:38:00,EDR,Unsigned Binary Execution,Medium,Closed,204.6,False,Tier 3 - Standard,Asset Servicing,EMEA,Night,2026-04-16,12,True,480,False
Analyst_01,AST-00713,ALT-107362,2026-04-16 12:42:00,Email Gateway,Phishing Attempt,Low,Closed,1357.2,True,Tier 2 - High,Global Markets,NA,Evening,2026-04-16,12,True,1440,False
Analyst_14,AST-00005,ALT-104842,2026-04-16 13:13:00,Cloud Access Security (CASB),Unsanctioned App Access,Low,Closed,2032.6,False,Tier 3 - Standard,Retail Banking,EMEA,Night,2026-04-16,13,True,1440,True
Analyst_13,AST-00199,ALT-108211,2026-04-16 13:13:00,SIEM,Brute Force Attempt,Low,Closed,958.8,False,Tier 2 - High,Retail Banking,APAC,Evening,2026-04-16,13,True,1440,False
Analyst_03,AST-00720,ALT-105903,2026-04-16 13:53:00,SIEM,Anomalous Login Pattern,High,Closed,180.0,False,Tier 3 - Standard,Fund Services,APAC,Night,2026-04-16,13,True,120,True
Analyst_14,AST-00314,ALT-102955,2026-04-16 14:02:00,Email Gateway,Spoofed Sender Domain,Medium,Closed,254.0,False,Tier 3 - Standard,Asset Servicing,EMEA,Night,2026-04-16,14,True,480,False
Analyst_08,AST-00447,ALT-103706,2026-04-16 14:17:00,EDR,Ransomware Behavior Pattern,High,Closed,263.8,False,Tier 3 - Standard,Fund Services,NA,Evening,2026-04-16,14,True,120,True
Analyst_14,AST-00041,ALT-105647,2026-04-16 14:26:00,Email Gateway,Malicious Attachment,Medium,Closed,52.8,False,Tier 3 - Standard,Corporate Functions,NA,Night,2026-04-16,14,True,480,False
Analyst_02,AST-00467,ALT-102492,2026-04-16 14:36:00,SIEM,Brute Force Attempt,Low,Closed,409.6,False,Tier 3 - Standard,Retail Banking,EMEA,Day,2026-04-16,14,True,1440,False
Analyst_07,AST-00544,ALT-110215,2026-04-16 14:38:00,Cloud Access Security (CASB),Unsanctioned App Access,Critical,Closed,280.4,False,Tier 3 - Standard,Fund Services,APAC,Evening,2026-04-16,14,True,30,True
Analyst_09,AST-00674,ALT-111604,2026-04-16 14:45:00,Firewall,Blocked Known-Bad IP,Critical,Closed,4.3,True,Tier 3 - Standard,Retail Banking,NA,Day,2026-04-16,14,True,30,False
Analyst_02,AST-00306,ALT-105953,2026-04-16 14:51:00,SIEM,Anomalous Login Pattern,Critical,Closed,34.1,False,Tier 3 - Standard,Technology,NA,Day,2026-04-16,14,True,30,True
Analyst_07,AST-00206,ALT-109989,2026-04-16 14:52:00,Firewall,Blocked Outbound C2 Traffic,Low,Closed,1514.7,False,Tier 3 - Standard,Retail Banking,APAC,Evening,2026-04-16,14,True,1440,True
Analyst_12,AST-00007,ALT-110033,2026-04-16 15:07:00,Email Gateway,Malicious Attachment,Medium,Closed,70.1,False,Tier 3 - Standard,Global Markets,NA,Night,2026-04-16,15,True,480,False
Analyst_03,AST-00731,ALT-101433,2026-04-16 15:16:00,Cloud Access Security (CASB),Unsanctioned App Access,Medium,Closed,543.3,True,Tier 3 - Standard,Corporate Functions,APAC,Night,2026-04-16,15,True,480,True
Analyst_09,AST-00572,ALT-100660,2026-04-16 15:35:00,IDS/IPS,Protocol Anomaly,Low,Closed,1242.4,False,Tier 3 - Standard,Asset Servicing,APAC,Day,2026-04-16,15,True,1440,False
Analyst_14,AST-00420,ALT-100082,2026-04-16 15:37:00,EDR,Unsigned Binary Execution,Low,Closed,1879.1,True,Tier 3 - Standard,Corporate Functions,EMEA,Night,2026-04-16,15,True,1440,True
Analyst_10,AST-00108,ALT-104533,2026-04-16 15:40:00,Firewall,Unusual Outbound Data Volume,High,Closed,93.2,False,Tier 3 - Standard,Fund Services,EMEA,Evening,2026-04-16,15,True,120,False
Analyst_01,AST-00576,ALT-108922,2026-04-16 15:55:00,EDR,Suspicious Process Execution,Low,Closed,1789.9,True,Tier 1 - Critical,Global Markets,NA,Evening,2026-04-16,15,True,1440,True
Analyst_07,AST-00457,ALT-105662,2026-04-16 15:56:00,Cloud Access Security (CASB),Unsanctioned App Access,High,Closed,56.3,False,Tier 3 - Standard,Retail Banking,NA,Evening,2026-04-16,15,True,120,False
Analyst_13,AST-00100,ALT-106935,2026-04-16 16:01:00,EDR,Credential Dumping Indicator,High,Closed,128.5,False,Tier 3 - Standard,Corporate Functions,NA,Evening,2026-04-16,16,True,120,True
Analyst_14,AST-00105,ALT-106033,2026-04-16 16:06:00,EDR,Suspicious Process Execution,Medium,Closed,864.9,False,Tier 3 - Standard,Fund Services,EMEA,Night,2026-04-16,16,True,480,True
Analyst_11,AST-00103,ALT-111829,2026-04-16 16:15:00,Firewall,Unusual Outbound Data Volume,Medium,Closed,665.3,False,Tier 3 - Standard,Fund Services,EMEA,Day,2026-04-16,16,True,480,True
Analyst_07,AST-00563,ALT-107815,2026-04-16 16:19:00,EDR,Ransomware Behavior Pattern,Low,Closed,807.8,True,Tier 3 - Standard,Global Markets,EMEA,Evening,2026-04-16,16,True,1440,False
Analyst_08,AST-00534,ALT-100332,2026-04-16 16:22:00,Email Gateway,Phishing Attempt,Medium,Closed,585.3,False,Tier 1 - Critical,Asset Servicing,EMEA,Evening,2026-04-16,16,True,480,True
Analyst_10,AST-00453,ALT-105517,2026-04-16 16:23:00,SIEM,Lateral Movement Indicator,Medium,Closed,6830.6,False,Tier 3 - Standard,Fund Services,APAC,Evening,2026-04-16,16,True,480,True
Analyst_08,AST-00059,ALT-110377,2026-04-16 16:30:00,EDR,Suspicious Process Execution,High,Closed,366.0,False,Tier 3 - Standard,Global Markets,NA,Evening,2026-04-16,16,True,120,True
Analyst_01,AST-00013,ALT-100569,2026-04-16 16:36:00,Email Gateway,Business Email Compromise Indicator,Medium,Closed,400.6,False,Tier 3 - Standard,Fund Services,EMEA,Evening,2026-04-16,16,True,480,False
Analyst_05,AST-00308,ALT-110171,2026-04-16 16:41:00,Firewall,Port Scan Detected,Low,Closed,295.0,False,Tier 3 - Standard,Retail Banking,EMEA,Day,2026-04-16,16,True,1440,False
Analyst_11,AST-00103,ALT-111392,2026-04-16 16:46:00,Email Gateway,Spoofed Sender Domain,Critical,Closed,67.0,False,Tier 3 - Standard,Fund Services,EMEA,Day,2026-04-16,16,True,30,True
Analyst_13,AST-00598,ALT-110466,2026-04-16 16:46:00,IDS/IPS,Exploit Attempt Signature Match,Medium,Closed,124.2,False,Tier 3 - Standard,Corporate Functions,NA,Evening,2026-04-16,16,True,480,False
Analyst_04,AST-00330,ALT-108055,2026-04-16 17:02:00,Cloud Access Security (CASB),Anomalous Data Download Volume,High,Closed,169.1,False,Tier 3 - Standard,Corporate Functions,NA,Evening,2026-04-16,17,True,120,True
Analyst_06,AST-00668,ALT-104980,2026-04-16 17:08:00,SIEM,Privilege Escalation Attempt,Medium,Closed,182.9,False,Tier 2 - High,Fund Services,EMEA,Night,2026-04-16,17,True,480,False
Analyst_01,AST-00609,ALT-102126,2026-04-16 17:17:00,Firewall,Port Scan Detected,Medium,Closed,62.4,False,Tier 3 - Standard,Asset Servicing,EMEA,Evening,2026-04-16,17,True,480,False
Analyst_04,AST-00314,ALT-104283,2026-04-16 17:23:00,SIEM,Privilege Escalation Attempt,High,Closed,149.6,False,Tier 3 - Standard,Asset Servicing,EMEA,Evening,2026-04-16,17,True,120,True
Analyst_13,AST-00162,ALT-110841,2026-04-16 17:23:00,Firewall,Blocked Known-Bad IP,Low,Closed,764.7,True,Tier 1 - Critical,Fund Services,NA,Evening,2026-04-16,17,True,1440,False
Analyst_11,AST-00157,ALT-100856,2026-04-16 17:28:00,Firewall,Blocked Outbound C2 Traffic,Medium,Closed,756.4,True,Tier 2 - High,Fund Services,NA,Day,2026-04-16,17,True,480,True
Analyst_06,AST-00063,ALT-109145,2026-04-16 17:33:00,SIEM,Brute Force Attempt,High,Closed,56.1,True,Tier 2 - High,Fund Services,NA,Night,2026-04-16,17,True,120,False
Analyst_11,AST-00784,ALT-104960,2026-04-16 17:38:00,SIEM,Anomalous Login Pattern,Medium,Closed,204.1,False,Tier 2 - High,Retail Banking,NA,Day,2026-04-16,17,True,480,False
Analyst_13,AST-00487,ALT-108289,2026-04-16 17:39:00,EDR,Credential Dumping Indicator,High,Closed,871.6,True,Tier 3 - Standard,Fund Services,APAC,Evening,2026-04-16,17,True,120,True
Analyst_13,AST-00478,ALT-102877,2026-04-16 17:46:00,SIEM,Lateral Movement Indicator,Medium,Closed,244.3,False,Tier 3 - Standard,Asset Servicing,APAC,Evening,2026-04-16,17,True,480,False
Analyst_03,AST-00666,ALT-103698,2026-04-16 17:46:00,Email Gateway,Business Email Compromise Indicator,Low,Closed,2574.2,False,Tier 3 - Standard,Fund Services,EMEA,Night,2026-04-16,17,True,1440,True
Analyst_08,AST-00399,ALT-103176,2026-04-16 17:49:00,EDR,Unsigned Binary Execution,Medium,Closed,659.8,True,Tier 1 - Critical,Corporate Functions,EMEA,Evening,2026-04-16,17,True,480,True
Analyst_07,AST-00697,ALT-102725,2026-04-16 17:56:00,Firewall,Port Scan Detected,Low,Closed,858.7,True,Tier 3 - Standard,Fund Services,NA,Evening,2026-04-16,17,True,1440,False
Analyst_10,AST-00564,ALT-109459,2026-04-16 18:16:00,SIEM,Anomalous Login Pattern,Medium,Closed,331.6,False,Tier 3 - Standard,Global Markets,NA,Evening,2026-04-16,18,True,480,False
Analyst_13,AST-00608,ALT-101815,2026-04-16 18:26:00,SIEM,Lateral Movement Indicator,Medium,Closed,138.0,True,Tier 3 - Standard,Fund Services,EMEA,Evening,2026-04-16,18,True,480,False
Analyst_04,AST-00723,ALT-100739,2026-04-16 18:36:00,IDS/IPS,Protocol Anomaly,Medium,Closed,191.2,True,Tier 2 - High,Corporate Functions,EMEA,Evening,2026-04-16,18,True,480,False
Analyst_04,AST-00125,ALT-103183,2026-04-16 18:37:00,Email Gateway,Spoofed Sender Domain,Critical,Closed,27.3,False,Tier 3 - Standard,Corporate Functions,APAC,Evening,2026-04-16,18,True,30,False
Analyst_08,AST-00103,ALT-109980,2026-04-16 18:38:00,SIEM,Brute Force Attempt,Medium,Closed,646.9,True,Tier 3 - Standard,Fund Services,EMEA,Evening,2026-04-16,18,True,480,True
Analyst_11,AST-00328,ALT-104254,2026-04-16 18:43:00,Email Gateway,Spoofed Sender Domain,Medium,In Progress,104.5,True,Tier 3 - Standard,Global Markets,NA,Day,2026-04-16,18,True,480,False
Analyst_10,AST-00456,ALT-111121,2026-04-16 18:49:00,EDR,Ransomware Behavior Pattern,Medium,Closed,736.3,False,Tier 3 - Standard,Fund Services,APAC,Evening,2026-04-16,18,True,480,True
Analyst_07,AST-00774,ALT-100102,2026-04-16 18:59:00,SIEM,Brute Force Attempt,Low,Closed,704.5,False,Tier 2 - High,Corporate Functions,EMEA,Evening,2026-04-16,18,True,1440,False
Analyst_01,AST-00792,ALT-103940,2026-04-16 19:21:00,SIEM,Lateral Movement Indicator,Medium,Closed,623.9,False,Tier 2 - High,Global Markets,APAC,Evening,2026-04-16,19,False,480,True
Analyst_11,AST-00367,ALT-108868,2026-04-16 19:36:00,EDR,Ransomware Behavior Pattern,Low,Closed,982.1,True,Tier 3 - Standard,Fund Services,APAC,Day,2026-04-16,19,False,1440,False
Analyst_06,AST-00519,ALT-103556,2026-04-16 20:09:00,SIEM,Anomalous Login Pattern,Low,Closed,1583.2,False,Tier 3 - Standard,Asset Servicing,EMEA,Night,2026-04-16,20,False,1440,True
Analyst_06,AST-00491,ALT-107159,2026-04-16 20:22:00,SIEM,Lateral Movement Indicator,Low,Closed,1680.7,False,Tier 3 - Standard,Corporate Functions,EMEA,Night,2026-04-16,20,False,1440,True
Analyst_07,AST-00764,ALT-101574,2026-04-16 20:47:00,EDR,Suspicious Process Execution,High,Closed,74.9,False,Tier 2 - High,Asset Servicing,APAC,Evening,2026-04-16,20,False,120,False
Analyst_07,AST-00754,ALT-110906,2026-04-16 20:54:00,IDS/IPS,Exploit Attempt Signature Match,Medium,Closed,235.5,False,Tier 1 - Critical,Global Markets,APAC,Evening,2026-04-16,20,False,480,False
Analyst_05,AST-00582,ALT-108994,2026-04-16 21:09:00,SIEM,Privilege Escalation Attempt,Medium,Closed,447.1,False,Tier 2 - High,Retail Banking,NA,Day,2026-04-16,21,False,480,False
Analyst_11,AST-00460,ALT-108602,2026-04-16 21:48:00,Email Gateway,Malicious Attachment,Medium,Closed,35.6,False,Tier 2 - High,Corporate Functions,NA,Day,2026-04-16,21,False,480,False
Analyst_01,AST-00195,ALT-102562,2026-04-16 21:48:00,Firewall,Blocked Outbound C2 Traffic,Medium,Closed,575.5,False,Tier 2 - High,Asset Servicing,APAC,Evening,2026-04-16,21,False,480,True
Analyst_10,AST-00348,ALT-109191,2026-04-16 21:49:00,Email Gateway,Spoofed Sender Domain,Low,Closed,1954.3,True,Tier 2 - High,Retail Banking,EMEA,Evening,2026-04-16,21,False,1440,True
Analyst_01,AST-00751,ALT-107221,2026-04-16 22:27:00,EDR,Unsigned Binary Execution,High,Closed,181.5,False,Tier 3 - Standard,Technology,EMEA,Evening,2026-04-16,22,False,120,True
Analyst_01,AST-00309,ALT-100759,2026-04-16 23:37:00,EDR,Ransomware Behavior Pattern,Medium,Closed,339.2,True,Tier 2 - High,Global Markets,APAC,Evening,2026-04-16,23,False,480,False
Analyst_14,AST-00019,ALT-109312,2026-04-16 23:54:00,Email Gateway,Phishing Attempt,Low,Closed,325.5,False,Tier 2 - High,Global Markets,NA,Night,2026-04-16,23,False,1440,False
Analyst_13,AST-00113,ALT-102122,2026-04-17 00:39:00,Cloud Access Security (CASB),Anomalous Data Download Volume,Medium,Closed,2858.6,False,Tier 2 - High,Global Markets,NA,Evening,2026-04-17,0,False,480,True
Analyst_11,AST-00267,ALT-102718,2026-04-17 02:01:00,Firewall,Port Scan Detected,Low,Closed,848.7,False,Tier 1 - Critical,Retail Banking,NA,Day,2026-04-17,2,False,1440,False
Analyst_10,AST-00512,ALT-104581,2026-04-17 02:23:00,SIEM,Anomalous Login Pattern,High,Closed,156.4,True,Tier 3 - Standard,Global Markets,NA,Evening,2026-04-17,2,False,120,True
Analyst_09,AST-00071,ALT-108963,2026-04-17 02:27:00,EDR,Credential Dumping Indicator,Low,Closed,707.9,True,Tier 1 - Critical,Global Markets,APAC,Day,2026-04-17,2,False,1440,False
Analyst_01,AST-00666,ALT-106581,2026-04-17 02:28:00,Firewall,Port Scan Detected,Medium,Closed,1841.2,False,Tier 3 - Standard,Fund Services,EMEA,Evening,2026-04-17,2,False,480,True
Analyst_04,AST-00089,ALT-110095,2026-04-17 02:38:00,SIEM,Brute Force Attempt,Low,Closed,866.8,False,Tier 2 - High,Corporate Functions,EMEA,Evening,2026-04-17,2,False,1440,False
Analyst_08,AST-00625,ALT-101049,2026-04-17 02:46:00,EDR,Suspicious Process Execution,Critical,Closed,19.3,False,Tier 3 - Standard,Asset Servicing,EMEA,Evening,2026-04-17,2,False,30,False
Analyst_12,AST-00146,ALT-108117,2026-04-17 03:44:00,SIEM,Lateral Movement Indicator,High,Closed,22.3,False,Tier 3 - Standard,Global Markets,NA,Night,2026-04-17,3,False,120,False
